День 1, Фил отработал 2 кармы
День 2, Фил отработал 5 кармы
День 3, Фил отработал 8 кармы
День 4, Фил отработал 10 кармы
День 5, Фил отработал 12 кармы
День 6, Фил отработал 14 кармы
День 7, Фил отработал 17 кармы
День 8, Фил отработал 21 кармы
День 9, Фил отработал 28 кармы
День 10, Фил отработал 31 кармы
День 11, Фил отработал 38 кармы
День 12, Фил отработал 44 кармы
День 13, Фил отработал 49 кармы
День 14, Фил отработал 56 кармы
День 15, Фил отработал 57 кармы
День 16, Фил отработал 58 кармы
День 17, Фил отработал 65 кармы
День 18, Фил отработал 68 кармы
День 19, Фил отработал 75 кармы
День 20, Фил отработал 79 кармы
Фил разбился на машине
День 22, Фил отработал 80 кармы
День 23, Фил отработал 83 кармы
День 24, Фил отработал 86 кармы
День 25, Фил отработал 89 кармы
День 26, Фил отработал 94 кармы
День 27, Фил отработал 100 кармы
День 28, Фил отработал 104 кармы
День 29, Фил отработал 108 кармы
День 30, Фил отработал 110 кармы
День 31, Фил отработал 112 кармы
Фил обожрался
День 33, Фил отработал 117 кармы
День 34, Фил отработал 119 кармы
День 35, Фил отработал 125 кармы
День 36, Фил отработал 132 кармы
День 37, Фил отработал 135 кармы
День 38, Фил отработал 139 кармы
День 39, Фил отработал 145 кармы
День 40, Фил отработал 151 кармы
День 41, Фил отработал 156 кармы
День 42, Фил отработал 157 кармы
День 43, Фил отработал 158 кармы
День 44, Фил отработал 163 кармы
День 45, Фил отработал 169 кармы
День 46, Фил отработал 170 кармы
День 47, Фил отработал 171 кармы
День 48, Фил отработал 178 кармы
День 49, Фил отработал 181 кармы
День 50, Фил отработал 184 кармы
День 51, Фил отработал 189 кармы
День 52, Фил отработал 195 кармы
День 53, Фил отработал 198 кармы
День 54, Фил отработал 205 кармы
День 55, Фил отработал 209 кармы
Фил обожрался
День 57, Фил отработал 215 кармы
День 58, Фил отработал 220 кармы
День 59, Фил отработал 221 кармы
День 60, Фил отработал 226 кармы
День 61, Фил отработал 232 кармы
День 62, Фил отработал 239 кармы
День 63, Фил отработал 240 кармы
День 64, Фил отработал 245 кармы
День 65, Фил отработал 250 кармы
День 66, Фил отработал 255 кармы
День 67, Фил отработал 261 кармы
День 68, Фил отработал 264 кармы
День 69, Фил отработал 266 кармы
День 70, Фил отработал 267 кармы
День 71, Фил отработал 268 кармы
День 72, Фил отработал 269 кармы
День 73, Фил отработал 274 кармы
День 74, Фил отработал 275 кармы
День 75, Фил отработал 280 кармы
Фил обожрался
День 77, Фил отработал 286 кармы
День 78, Фил отработал 291 кармы
День 79, Фил отработал 292 кармы
День 80, Фил отработал 299 кармы
День 81, Фил отработал 306 кармы
День 82, Фил отработал 311 кармы
День 83, Фил отработал 312 кармы
День 84, Фил отработал 315 кармы
День 85, Фил отработал 321 кармы
День 86, Фил отработал 325 кармы
День 87, Фил отработал 327 кармы
День 88, Фил отработал 334 кармы
Фил обожрался
День 90, Фил отработал 339 кармы
Фил впал в депрессию
День 92, Фил отработал 346 кармы
День 93, Фил отработал 351 кармы
День 94, Фил отработал 352 кармы
День 95, Фил отработал 356 кармы
День 96, Фил отработал 358 кармы
День 97, Фил отработал 361 кармы
День 98, Фил отработал 364 кармы
День 99, Фил отработал 371 кармы
День 100, Фил отработал 372 кармы
День 101, Фил отработал 377 кармы
День 102, Фил отработал 383 кармы
День 103, Фил отработал 384 кармы
День 104, Фил отработал 389 кармы
День 105, Фил отработал 390 кармы
День 106, Фил отработал 391 кармы
День 107, Фил отработал 396 кармы
День 108, Фил отработал 397 кармы
День 109, Фил отработал 401 кармы
День 110, Фил отработал 405 кармы
День 111, Фил отработал 412 кармы
День 112, Фил отработал 416 кармы
День 113, Фил отработал 421 кармы
День 114, Фил отработал 427 кармы
День 115, Фил отработал 433 кармы
День 116, Фил отработал 440 кармы
День 117, Фил отработал 447 кармы
Фил обожрался
День 119, Фил отработал 452 кармы
День 120, Фил отработал 455 кармы
День 121, Фил отработал 460 кармы
День 122, Фил отработал 466 кармы
День 123, Фил отработал 468 кармы
День 124, Фил отработал 469 кармы
День 125, Фил отработал 471 кармы
День 126, Фил отработал 474 кармы
День 127, Фил отработал 476 кармы
День 128, Фил отработал 483 кармы
День 129, Фил отработал 486 кармы
День 130, Фил отработал 487 кармы
День 131, Фил отработал 491 кармы
День 132, Фил отработал 497 кармы
День 133, Фил отработал 500 кармы
День 134, Фил отработал 503 кармы
День 135, Фил отработал 510 кармы
